id,nombre,cct,nivel,tipo,sector,direccion,telefono,gmail,lat,lng,calificacion,imagen,descripcion,servicios
1,CAMPO ESCUELA SAN JOSE,23PBH0010J,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE CARRETERA FEDERAL LIBRE 307 TRAMO MERIDA    295  77560,,,21.13576,-86.90389,,,,[[BACHILLERATO GENERAL]]
2,BACHILLERATO SUMMERHILL,23PBH0046Y,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE 75 AVENIDA JOSE LOPEZ PORTILLO CALLE 10 CALLE 73 295  77514,,,21.16384,-86.84687,,,,[BACHILLERATO GENERAL]
3,ESCUELA DEL SINDICALISMO NUEVO,23PBH0037Q,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE 12 PONIENTE AVENIDA UXMAL CALLE 12 AVENIDA JOSE LOPEZ PORTILLO 295  77500,,,21.16915,-86.83595,,,,[BACHILLERATO GENERAL]
4,BACHILLERATO NATKAN,23PBH3890Y,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,    295  77500,,,21.11711,-86.88254,,,,[BACHILLERATO GENERAL]
5,CENTRO DE BACHILLERATO [TECNOLoGICO] INDUSTRIAL Y DE SERVICIOS NUM. 301,23DCT0005N,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CENTENARIO   CALLE 20 DE NOVIEMBRE 359 255 77500,,,21.163022,-86.902606,,,,[TECNOLoGICO]
6,CENTRO UNIVERSITARIO PENINSULAR,23PCT0008P,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA UXMAL CALLE PUNTA ALLEN CALLE PUNTA PULTICUB  295  77509,,,21.15582,-86.86334,,,,[TECNOLoGICO]
7,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN III,23ETC0007K,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA 20 DE NOVIEMBRE AVENIDA CENTENARIO   295  77539,,,21.16213,-86.89887,,,,[TECNOLoGICO]
8,CENTRO EDUCATIVO ITZAMNA,23PBH0009U,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,RETORNO PUNTA CHUNYUNYUN CALLE PUNTA YOQUEN CALLE PUNTA CHACCHIC CALLE PUNTA YOQUEN 295  77509,,,21.16471,-86.83284,,,,[BACHILLERATO GENERAL]
9,BACHILLERATO [TECNOLoGICO] INSTITUTO LIVIER,23PCT0010D,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CARLOS J. NADER AVENIDA JOSÉ GARCÍA DE LA TORRE  AVENIDA TULÚM 2 2 77500,,,21.167399,-86.824135,,,,[TECNOLoGICO]
10,LAWRENCE SCHOOL,23PBH0029H,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA MAYAPAN AVENIDA MAYAPAN AVENIDA KABAH AVENIDA YAXCHILAN 295  77505,,,21.15194,-86.83567,,,,[BACHILLERATO GENERAL]
11,PLANTEL CONALEP 286. CANCUN II,23DPT0005R,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA 20 DE NOVIEMBRE AVENIDA LA COSTA CALLE 161 NORTE AVENIDA LA COSTA 295  77516,,,21.18462,-86.85036,,,,[PROFESIONAL TeCNICO BACHILLER]
12,CENTRO DE SERVICIOS ACADÉMICOS INTEGRALES CANCÚN,23ECB0014E,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 57 CALLE 65 NORTE CALLE 57 NORTE CALLE 24 PONIENTE 88 91 77516,,,21.16806,-86.84277,,,,[BACHILLERATO GENERAL]
13,ESCUELA PREPARATORIA ANDRES QUINTANA ROO,23PBH0038P,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CHAC MOOL AVENIDA PUERTO JUAREZ AVENIDA LEONA VICARIO CALLE 31 PONIENTE 295  77517,,,21.16521,-86.87232,,,,[BACHILLERATO GENERAL]
14,CANCUN DOS,23ECB0013F,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA FRANCISCO I. MADERO CALLE 137 NORTE CALLE 139 NORTE CALLE 36 PONIENTE 295  77538,,,21.15106,-86.8806,,,,[BACHILLERATO GENERAL]
15,BACHILLERATO MODULAR CECYTE CANCÚN I,23EMS0032A,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 71 CALLE 72 PONIENTE AVENIDA LEONA VICARIO CALLE 79 295  77516,,,21.17592,-86.85298,,,,[BACHILLERATO GENERAL]
16,JAIME TORRES BODET,23PCT0005S,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CHICHEN ITZA CALLE ACANCEH CALLE TIMUL CALLE SISBIC 295  77515,,,21.158029,-86.853421,,,,[TECNOLoGICO]
17,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 111,23DCT0375F,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CHICHEN ITZA    295  77500,,,21.17137,-86.82312,,,,[TECNOLoGICO]
18,COLEGIO IGNACIO COMONFORT,23PBH0013G,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA BONAMPAK CALLE 28 ORIENTE CALLE 26 ORIENTE CALLE 51 NORTE 295  77526,,,21.18266,-86.81928,,,,[BACHILLERATO GENERAL]
19,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN III,23ETC0007K,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA 20 DE NOVIEMBRE AVENIDA CENTENARIO   295  77539,,,21.16213,-86.89887,,,,[TECNOLoGICO]
20,PLANTEL CONALEP 009. CANCUN,23DPT0001V,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA JOSE GARCIA DE LA TORRE AVENIDA BONAMPAK AVENIDA CHICHEN ITZA AVENIDA BONAMPAK 295  77500,,,21.1684,-86.82279,,,,[PROFESIONAL TeCNICO BACHILLER]
21,COLEGIO ALAMOS,23PBH0042B,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA PASEO DEL CASTAÑO    295  77560,,,21.12878,-86.84317,,,,[BACHILLERATO GENERAL]
22,PREPARATORIA AZTECA DEL CARIBE,23PBH3703N,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CHICHEN ITZA    295  77515,,,21.15846,-86.85267,,,,[BACHILLERATO GENERAL]
23,COLEGIO MIRAMAR,23PBH0047X,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE FRESNO AVENIDA HUAYACAN CALLE LIMON CALLE ENCINO 295  77560,,,21.12794,-86.838321,,,,[BACHILLERATO GENERAL]
24,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN I,23ETC0001Q,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 71 CALLE 72 PONIENTE AVENIDA LEONA VICARIO CALLE 79 295  77516,,,21.17592,-86.85298,,,,[TECNOLoGICO]
25,UNIVERSIDAD TEC MILENIO CANCUN,23PBH3686N,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA BONAMPAK    295  77528,,,21.13304,-86.82647,,,,[BACHILLERATO GENERAL]
26,"COLEGIO KUKULCAN CANCUN, S.C.",23PBH0003Z,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE CAYO CENTRO AVENIDA CABO CATOCHE CALLE PUNTA NOH-KU  295  77508,,,21.15742,-86.84569,,,,[BACHILLERATO GENERAL]
27,PLANTEL CANCUN CUATRO,23ECB0023M,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CHETUMAL CALLE KANLOL ANDADOR TULIPANES CALLE CHUNUP 307 PADRO NORTE 77519,,,21.16023,-86.8316,,,,[BACHILLERATO GENERAL]
